,,,,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Mike Adras,Northern Arizona,Big Sky,,18,12,.600,,,,,1999-00,129,106,.549,1,,,,,129,106,.549,1,,,
Cy Alexander,Tennessee State,OVC,,12,20,.375,,,,,2003-04,46,73,.387,,,,,,322,273,.541,5,,,
Steve Alford,Iowa,Big Ten,,17,14,.548,,,,,1999-00,152,106,.589,3,,,,,230,154,.599,4,1,,
Dana Altman,Creighton,MVC,,22,11,.667,19,,Lost First Round,,1994-95,260,141,.648,7,,,,,343,208,.623,8,,,
Tommy Amaker,Michigan,Big Ten,,22,13,.629,,,,,2001-02,108,84,.562,,,,,,176,139,.559,1,1,,
Mike Anderson Sr,Missouri,Big 12,,18,12,.600,,,,,2006-07,18,12,.600,,,,,,107,53,.669,3,1,,
Tevester Anderson,Jackson State,SWAC,,21,14,.600,,,Lost First Round,,2003-04,63,65,.492,1,,,,,166,117,.587,3,,,
Ronnie Arrow,Texas A&M-Corpus Christi,Southland,,26,7,.788,,,Lost First Round,,2002-03,95,49,.660,1,,,,,209,142,.595,3,,,
Tony Barbee,UTEP,CUSA,,14,17,.452,,,,,2006-07,14,17,.452,,,,,,14,17,.452,,,,
Rick Barnes,Texas,Big 12,,25,10,.714,21,11,Lost Second Round,,1998-99,216,86,.715,9,4,1,,,418,220,.655,15,5,1,
Jim Baron,Rhode Island,A-10,,19,14,.576,,,,,2001-02,86,96,.473,,,,,,292,298,.495,2,,,
Murry Bartow,ETSU,A-Sun,,24,10,.706,,,,,2003-04,76,48,.613,1,,,,,179,131,.577,2,,,
Duggar Baucom,VMI,Big South,,14,19,.424,,,,,2005-06,21,39,.350,,,,,,21,39,.350,,,,
John Beilein,West Virginia,Big East,,27,9,.750,,,,,2002-03,104,60,.634,2,2,,,,293,175,.626,4,2,,
Randy Bennett,Saint Mary's,WCC,,17,15,.531,,,,,2001-02,102,83,.551,1,,,,,102,83,.551,1,,,
