Coach,School,Conference,Season Wins,Season Losses,Season W-L%,AP Pre,AP Post,NCAA Tournament,Since,School Wins,School Losses,School W-L%,School NCAA,School S16,School FF,School Chmp,Career Wins,Career Losses,Career W-L%,Career NCAA,Career S16,Career FF,Career Chmp
Mike Adras,Northern Arizona,Big Sky,15.0,13.0,0.536,,,,1999-00,64.0,52.0,0.552,1.0,,,,64,52,0.552,1.0,,,
Steve Aggers,Loyola Marymount,WCC,11.0,20.0,0.355,,,,2000-01,29.0,59.0,0.33,,,,,80,141,0.362,,,,
Cy Alexander,South Carolina State,MEAC,20.0,11.0,0.645,,,Lost First Round,1987-88,276.0,200.0,0.58,5.0,,,,276,200,0.58,5.0,,,
Steve Alford,Iowa,Big Ten,17.0,14.0,0.548,,,,1999-00,73.0,58.0,0.557,1.0,,,,151,106,0.588,2.0,1.0,,
Frankie Allen,Howard,MEAC,13.0,17.0,0.433,,,,2000-01,41.0,48.0,0.461,,,,,212,249,0.46,2.0,,,
Dana Altman,Creighton,MVC,29.0,5.0,0.853,,15.0,Lost First Round,1994-95,175.0,100.0,0.636,5.0,,,,258,167,0.607,6.0,,,
Tommy Amaker,Michigan,Big Ten,17.0,13.0,0.567,,,,2001-02,28.0,31.0,0.475,,,,,96,86,0.527,1.0,1.0,,
Mike Anderson Sr,UAB,CUSA,21.0,13.0,0.618,,,,2002-03,21.0,13.0,0.618,,,,,21,13,0.618,,,,
Tevester Anderson,Murray State,OVC,17.0,12.0,0.586,,,,1998-99,103.0,52.0,0.665,2.0,,,,103,52,0.665,2.0,,,
Ronnie Arrow,Texas A&M-Corpus Christi,Ind,14.0,15.0,0.483,,,,2002-03,14.0,15.0,0.483,,,,,128,108,0.542,2.0,,,
Rick Barnes,Texas,Big 12,26.0,7.0,0.788,4.0,5.0,Lost National Semifinal,1998-99,116.0,50.0,0.699,5.0,2.0,1.0,,318,184,0.633,11.0,3.0,1.0,
Rod Barnes,Ole Miss,SEC,14.0,15.0,0.483,,,,1998-99,100.0,61.0,0.621,3.0,1.0,,,100,61,0.621,3.0,1.0,,
Jim Baron,Rhode Island,A-10,19.0,12.0,0.613,,,,2001-02,27.0,32.0,0.458,,,,,233,234,0.499,2.0,,,
Butch Beard,Morgan State,MEAC,7.0,22.0,0.241,,,,2001-02,10.0,47.0,0.175,,,,,55,116,0.322,1.0,,,
John Beilein,West Virginia,Big East,14.0,15.0,0.483,,,,2002-03,14.0,15.0,0.483,,,,,203,130,0.61,2.0,,,
Bart Bellairs,VMI,Southern,10.0,20.0,0.333,,,,1994-95,101.0,151.0,0.401,,,,,101,151,0.401,,,,
Randy Bennett,Saint Mary's,WCC,15.0,15.0,0.5,,,,2001-02,24.0,35.0,0.407,,,,,24,35,0.407,,,,
Henry Bibby,USC,Pac-10,13.0,17.0,0.433,,,,1995-96,117.0,103.0,0.532,3.0,1.0,,,117,103,0.532,3.0,1.0,,
Eddie Biedenbach,UNC Asheville,Big South,15.0,17.0,0.469,,,Lost First Round,1996-97,102.0,101.0,0.502,1.0,,,,131,152,0.463,1.0,,,
Dave Bike,Sacred Heart,NEC,8.0,21.0,0.276,,,,1999-00,26.0,87.0,0.23,,,,,26,87,0.23,,,,
Ricky Blanton,Nicholls State,Southland,3.0,25.0,0.107,,,,2002-03,3.0,25.0,0.107,,,,,3,25,0.107,,,,
Dave Bliss,Baylor,Big 12,14.0,14.0,0.5,,,,1999-00,61.0,57.0,0.517,,,,,526,328,0.616,11.0,1.0,,
Jim Boeheim,Syracuse,Big East,30.0,5.0,0.857,,13.0,Won National Final,1976-77,653.0,226.0,0.743,22.0,12.0,3.0,1.0,653,226,0.743,22.0,12.0,3.0,1.0
Jim Boone,Eastern Michigan,MAC,14.0,14.0,0.5,,,,2000-01,23.0,63.0,0.267,,,,,68,129,0.345,,,,
Rick Boyages,William & Mary,CAA,12.0,16.0,0.429,,,,2000-01,33.0,52.0,0.388,,,,,33,52,0.388,,,,
John Brady,LSU,SEC,21.0,11.0,0.656,,,Lost First Round,1997-98,102.0,81.0,0.557,2.0,1.0,,,191,158,0.547,2.0,1.0,,
Bobby Braswell,Cal State Northridge,Big West,14.0,15.0,0.483,,,,1996-97,111.0,94.0,0.541,1.0,,,,111,94,0.541,1.0,,,
Ben Braun,California,Pac-10,22.0,9.0,0.71,,,Lost Second Round,1996-97,140.0,79.0,0.639,4.0,1.0,,,324,212,0.604,7.0,2.0,,
Tom Brennan,Vermont,AEC,21.0,12.0,0.636,,,Lost First Round,1986-87,217.0,260.0,0.455,1.0,,,,263,318,0.453,1.0,,,
Mike Brey,Notre Dame,Big East,24.0,10.0,0.706,,22.0,Lost Regional Semifinal,2000-01,66.0,31.0,0.68,3.0,1.0,,,165,83,0.665,5.0,1.0,,
Kevin Bromley,Cal Poly,Big West,16.0,14.0,0.533,,,,2000-01,35.0,38.0,0.479,,,,,35,38,0.479,,,,
Will Brown,Albany (NY),AEC,7.0,21.0,0.25,,,,2001-02,14.0,34.0,0.292,,,,,14,34,0.292,,,,
Brad Brownell,UNC Wilmington,CAA,24.0,7.0,0.774,,,Lost First Round,2002-03,24.0,7.0,0.774,1.0,,,,24,7,0.774,1.0,,,
Tim Buckley,Ball State,MAC,13.0,17.0,0.433,,,,2000-01,54.0,41.0,0.568,,,,,54,41,0.568,,,,
Rick Byrd,Belmont,A-Sun,17.0,12.0,0.586,,,,1999-00,48.0,65.0,0.425,,,,,48,65,0.425,,,,
Jim Calhoun,UConn,Big East,23.0,10.0,0.697,15.0,23.0,Lost Regional Semifinal,1986-87,401.0,160.0,0.715,11.0,9.0,1.0,1.0,649,297,0.686,16.0,9.0,1.0,1.0
John Calipari,Memphis,CUSA,23.0,7.0,0.767,,19.0,Lost First Round,2000-01,71.0,31.0,0.696,1.0,,,,264,102,0.721,6.0,3.0,1.0,
Dave Calloway,Monmouth,NEC,15.0,13.0,0.536,,,,1997-98,74.0,82.0,0.474,1.0,,,,74,82,0.474,1.0,,,
Bret Campbell,UT-Martin,OVC,14.0,14.0,0.5,,,,1999-00,49.0,65.0,0.43,,,,,49,65,0.43,,,,
Jeff Capel III,VCU,CAA,18.0,10.0,0.643,,,,2002-03,18.0,10.0,0.643,,,,,18,10,0.643,,,,
Bill Carmody,Northwestern,Big Ten,12.0,17.0,0.414,,,,2000-01,39.0,49.0,0.443,,,,,131,74,0.639,2.0,,,
Terry Carroll,Denver,Sun Belt,17.0,15.0,0.531,,,,2001-02,25.0,35.0,0.417,,,,,25,35,0.417,,,,
Tim Carter,UTSA,Southland,10.0,17.0,0.37,,,,1995-96,115.0,108.0,0.516,1.0,,,,115,108,0.516,1.0,,,
John Chaney,Temple,A-10,18.0,16.0,0.529,,,,1982-83,468.0,210.0,0.69,17.0,5.0,,,468,210,0.69,17.0,5.0,,
Jim Christian,Kent State,MAC,21.0,10.0,0.677,,,,2002-03,21.0,10.0,0.677,,,,,21,10,0.677,,,,
Perry Clark,Miami (FL),Big East,11.0,17.0,0.393,,,,2000-01,51.0,38.0,0.573,1.0,,,,236,183,0.563,4.0,,,
Steve Cleveland,BYU,MWC,23.0,9.0,0.719,,,Lost First Round,1997-98,108.0,78.0,0.581,2.0,,,,108,78,0.581,2.0,,,
Charlie Coles,Miami (OH),MAC,13.0,15.0,0.464,,,,1996-97,120.0,93.0,0.563,2.0,1.0,,,211,178,0.542,3.0,1.0,,
Barry Collier,Nebraska,Big 12,11.0,19.0,0.367,,,,2000-01,38.0,50.0,0.432,,,,,234,182,0.562,3.0,,,
Bobby Collins,Hampton,MEAC,19.0,11.0,0.633,,,,2002-03,19.0,11.0,0.633,,,,,19,11,0.633,,,,
Jimmy Collins,UIC,Horizon,21.0,9.0,0.7,,,,1996-97,107.0,101.0,0.514,2.0,,,,107,101,0.514,2.0,,,
Ronnie Courtney,Texas Southern,SWAC,18.0,13.0,0.581,,,Lost Opening Round,2001-02,29.0,30.0,0.492,1.0,,,,29,30,0.492,1.0,,,
Joe Cravens,Weber State,Big Sky,26.0,6.0,0.812,,,Lost First Round,1999-00,77.0,41.0,0.653,1.0,,,,131,94,0.582,1.0,,,
Tom Crean,Marquette,CUSA,27.0,6.0,0.818,18.0,9.0,Lost National Semifinal,1999-00,83.0,41.0,0.669,2.0,1.0,1.0,,83,41,0.669,2.0,1.0,1.0,
Jim Crews,Army,Patriot,5.0,22.0,0.185,,,,2002-03,5.0,22.0,0.185,,,,,299,231,0.564,4.0,,,
Dan Dakich,Bowling Green State,MAC,13.0,16.0,0.448,,,,1997-98,102.0,73.0,0.583,,,,,102,73,0.583,,,,
Donny Daniels,Cal State Fullerton,Big West,10.0,19.0,0.345,,,,2000-01,20.0,64.0,0.238,,,,,20,64,0.238,,,,
Ed Daniels,Savannah State,Ind,3.0,24.0,0.111,,,,2002-03,3.0,24.0,0.111,,,,,3,24,0.111,,,,
Dick Davey,Santa Clara,WCC,13.0,15.0,0.464,,,,1992-93,186.0,132.0,0.585,3.0,,,,186,132,0.585,3.0,,,
Emmett Davis,Colgate,Patriot,14.0,14.0,0.5,,,,1998-99,71.0,70.0,0.504,,,,,71,70,0.504,,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,16.0,14.0,0.533,,,,2002-03,16.0,14.0,0.533,,,,,87,64,0.576,2.0,,,
Larry Davis,Furman,Southern,14.0,17.0,0.452,,,,1997-98,76.0,101.0,0.429,,,,,76,101,0.429,,,,
Mike Davis,Indiana,Big Ten,21.0,13.0,0.618,21.0,,Lost Second Round,2000-01,67.0,38.0,0.638,3.0,1.0,1.0,,67,38,0.638,3.0,1.0,1.0,
Ed DeChellis,ETSU,Southern,20.0,11.0,0.645,,,Lost First Round,1996-97,105.0,93.0,0.53,1.0,,,,105,93,0.53,1.0,,,
Joe DeSantis,Quinnipiac,NEC,17.0,12.0,0.586,,,,1998-99,64.0,77.0,0.454,,,,,64,77,0.454,,,,
Don DeVoe,Navy,Patriot,8.0,20.0,0.286,,,,1992-93,179.0,138.0,0.565,3.0,,,,507,366,0.581,10.0,2.0,,
Mike Deane,Lamar,Southland,13.0,14.0,0.481,,,,1999-00,52.0,62.0,0.456,1.0,,,,318,194,0.621,4.0,,,
Mike Dement,SMU,WAC,17.0,13.0,0.567,,,,1995-96,128.0,105.0,0.549,,,,,250,228,0.523,1.0,,,
Pat Dennis,The Citadel,Southern,8.0,20.0,0.286,,,,1992-93,129.0,174.0,0.426,,,,,129,174,0.426,,,,
Howie Dickenman,Central Connecticut,NEC,15.0,13.0,0.536,,,,1996-97,112.0,92.0,0.549,2.0,,,,112,92,0.549,2.0,,,
Sherman Dillard,James Madison,CAA,13.0,17.0,0.433,,,,1997-98,86.0,85.0,0.503,,,,,115,136,0.458,,,,
Matt Doherty,UNC,ACC,19.0,16.0,0.543,,,,2000-01,53.0,43.0,0.552,1.0,,,,75,58,0.564,1.0,,,
Steve Donahue,Cornell,Ivy,9.0,18.0,0.333,,,,2000-01,21.0,60.0,0.259,,,,,21,60,0.259,,,,
Billy Donovan,Florida,SEC,25.0,8.0,0.758,7.0,10.0,Lost Second Round,1996-97,149.0,73.0,0.671,5.0,2.0,1.0,,184,93,0.664,5.0,2.0,1.0,
Neil Dougherty,TCU,CUSA,9.0,19.0,0.321,,,,2002-03,9.0,19.0,0.321,,,,,9,19,0.321,,,,
Pat Douglass,UC-Irvine,Big West,20.0,9.0,0.69,,,,1997-98,95.0,77.0,0.552,,,,,95,77,0.552,,,,
Scott Drew,Valparaiso,Mid-Cont,20.0,11.0,0.645,,,,2002-03,20.0,11.0,0.645,,,,,20,11,0.645,,,,
Lefty Driesell,Georgia State,A-Sun,4.0,6.0,0.4,,,,1997-98,103.0,59.0,0.636,1.0,,,,786,394,0.666,13.0,8.0,,
Jerry Dunn,Penn State,Big Ten,7.0,21.0,0.25,,,,1995-96,117.0,121.0,0.492,2.0,1.0,,,117,121,0.492,2.0,1.0,,
Fran Dunphy,Penn,Ivy,22.0,6.0,0.786,,,Lost First Round,1989-90,253.0,135.0,0.652,7.0,,,,253,135,0.652,7.0,,,
Randy Dunton,Liberty,Big South,14.0,15.0,0.483,,,,1997-98,25.0,32.0,0.439,,,,,25,32,0.439,,,,
Hugh Durham,Jacksonville,A-Sun,13.0,16.0,0.448,,,,1997-98,77.0,91.0,0.458,,,,,605,402,0.601,8.0,2.0,2.0,
Mick Durham,Montana State,Big Sky,11.0,16.0,0.407,,,,1990-91,203.0,171.0,0.543,1.0,,,,203,171,0.543,1.0,,,
